id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16614696,Cozy quiet room with a LAKE view for long term.,3890547,Obreja,,Brnshj-Husum,55.710550161559745,12.453967030555779,Private room,200,5,13,2018-05-11,0.69,3,0
16614843,Beach house in Copenhagen,6816795,Morten,,Amager st,55.65192156802356,12.637663890983404,Entire home/apt,1102,5,11,2018-07-29,0.57,1,2
16615451,Big and bright apartment close to the metro,109512291,Luise,,Frederiksberg,55.68045393762331,12.524938776669984,Entire home/apt,950,7,0,,,1,363
16616212,Apartment in central Copenhagen,109683919,Jakob,,Indre By,55.67909292360604,12.575322000939256,Entire home/apt,3000,4,6,2017-06-21,0.33,1,364
16616632,4 room appartment with view in central Copenhagen,6135283,Maria & Kresten,,Vesterbro-Kongens Enghave,55.67203129178969,12.563333596487995,Entire home/apt,1198,3,34,2018-09-10,1.60,1,0
16618277,Open and light apartment Close to puplic transport,109707866,Jonas,,Vanlse,55.69294817504786,12.508035577989803,Entire home/apt,399,4,8,2018-09-01,0.38,1,0
16623509,"Penthouse at Nørrebro, Copenhagen.",3971431,Joline,,Nrrebro,55.69578039007978,12.545815350504723,Entire home/apt,889,2,13,2017-12-17,0.64,1,0
16623710,Lovely apartment in Nørrebro close to The Lakes,16275456,Mette,,Frederiksberg,55.6851864628224,12.54767806948872,Entire home/apt,569,2,10,2018-09-15,0.51,1,156
16626597,Heart of Copenhagen - Charming w. balcony,25177993,Lars Harkov,,Indre By,55.68839575397751,12.590658472012105,Entire home/apt,1047,4,8,2018-08-19,0.53,1,28
16627202,Cozy renovated apt with balcony - close to city,6816492,Helle,,Frederiksberg,55.68639408743791,12.528903147753182,Entire home/apt,608,2,9,2018-08-23,0.50,1,198
16629766,Amazing flat in the best part of Nørrebro,37339088,Kathrine,,Nrrebro,55.69001892918651,12.555306335857896,Entire home/apt,979,3,12,2018-05-06,0.58,1,0
16630271,Cozy & simple in the heart of Nørrebro,36045970,Olivia,,Nrrebro,55.69314642883543,12.544752192727415,Entire home/apt,698,3,47,2018-10-17,2.42,1,163
